domain,model,horizon,n_origins,mae_model,mae_baseline,skill
wind,knn,48,350,3.100942857142857,3.904742857142857,0.20585222366938372
wind,lightgbm,1,352,2.242100992076327,2.289659090909091,0.02077082087092763
wind,lightgbm,2,352,2.5525752468369145,2.8569886363636363,0.10655043763638417
wind,lightgbm,3,352,2.6710878035303094,2.969971590909091,0.10063523445599531
wind,lightgbm,4,352,2.8530243967104765,3.1241761363636367,0.08679143806813827
wind,lightgbm,5,352,2.79680565537098,3.054090909090909,0.08424282753145462
wind,lightgbm,6,352,2.8040696253165898,3.2537784090909088,0.13821125080855323
wind,lightgbm,7,352,2.7764103631195285,3.2374431818181817,0.14240645867944846
wind,lightgbm,8,352,2.8377022401272494,3.431988636363636,0.17316094521398617
wind,lightgbm,9,352,2.803772173713582,3.4388068181818183,0.18466714707864706
wind,lightgbm,10,352,2.8709151194628895,3.3134659090909095,0.13356129254682425
wind,lightgbm,11,352,2.87114157236505,3.4072443181818177,0.15734203237378763
wind,lightgbm,12,352,2.977033537144342,3.5420738636363636,0.15952245725105796
wind,lightgbm,13,352,3.1022816900975445,3.6944886363636367,0.16029469963371767
wind,lightgbm,14,352,2.9652419989040695,3.7011647727272727,0.19883545289471805
wind,lightgbm,15,352,2.9168666780499652,3.7579261363636367,0.22380947038185373
wind,lightgbm,16,352,3.1211948625191854,3.764375,0.17085974098776413
wind,lightgbm,17,352,3.1255166675850474,3.6564204545454544,0.14519768543040978
wind,lightgbm,18,351,3.1213281220992126,3.521880341880342,0.11373248972089534
wind,lightgbm,19,351,3.090531726014402,3.5243874643874644,0.12310103323116495
wind,lightgbm,20,351,3.105096346080462,3.448034188034188,0.09945894479348061
wind,lightgbm,21,351,3.2408395019057923,3.569344729344729,0.09203516397230838
wind,lightgbm,22,351,3.4405689942108233,3.528233618233618,0.024846604139179163
wind,lightgbm,23,351,3.143893905430646,3.3898860398860395,0.07256649089704015
wind,lightgbm,24,351,3.0169643601300473,3.4789458689458685,0.1327935317820289
wind,lightgbm,25,351,3.247828361580712,3.703105413105413,0.12294466420357897
wind,lightgbm,26,351,3.164816077769834,3.724472934472934,0.15026471303443623
wind,lightgbm,27,351,3.1866517484642674,3.717264957264957,0.1427429077294231
wind,lightgbm,28,351,3.1270202051932356,3.737777777777778,0.1634012530695863
wind,lightgbm,29,351,3.187795516520008,3.6527920227920223,0.12729892733301384
wind,lightgbm,30,351,3.322413830706578,3.7214814814814807,0.10723354469468926
wind,lightgbm,31,351,3.0207266707949962,3.802165242165242,0.2055246212616565
wind,lightgbm,32,351,3.13721527794201,3.8619943019943017,0.1876696254259157
wind,lightgbm,33,351,3.2340104530329277,3.8074643874643876,0.1506130789612865
