domain,model,horizon,n_origins_x,mae_model,mae_baseline,skill,n_origins_y,dm_stat,p_value,p_value_bh,significant_bh,h_relax,h_strict,h_start,h_end,n_sign_changes
pm25,knn,10,365,60.050958904109585,51.42465753424658,-0.1677464038359082,365,-2.780345019704382,0.0057122877629027,0.0166013363109362,True,48,16,33,48,3
pm25,knn,11,365,63.851506849315065,54.37534246575343,-0.1742731899027558,365,-2.759177758735722,0.0060875022719435,0.0171556882209318,True,48,16,33,48,3
pm25,knn,12,365,67.41698630136986,59.14794520547945,-0.1398026772893603,365,-2.856758801883859,0.0045256439361585,0.0141993637918169,True,48,16,33,48,3
pm25,knn,13,365,66.79068493150685,61.07671232876712,-0.0935540304131341,365,-1.9157390692329304,0.056181454106472,0.1215087263232999,False,48,16,33,48,3
pm25,knn,14,365,66.01041095890412,61.87397260273973,-0.066852639036486,365,-1.2577888782365578,0.2092744163109459,0.3463537172824109,False,48,16,33,48,3
pm25,knn,15,365,67.10684931506849,63.21917808219178,-0.061495124593716,365,-1.1492841981107496,0.2511934081114744,0.3638500290362497,False,48,16,33,48,3
pm25,knn,16,365,67.86575342465754,63.56986301369863,-0.0675774684308063,365,-1.352404518786187,0.1770855078583166,0.2994354951058809,False,48,16,33,48,3
pm25,knn,17,365,67.84054794520547,64.31506849315069,-0.0548157614483491,365,-1.132389388828491,0.2582161496386288,0.3638500290362497,False,48,16,33,48,3
pm25,knn,18,365,68.94575342465754,65.57534246575342,-0.0513975349905997,365,-1.2437584496496497,0.214388863771652,0.3463537172824109,False,48,16,33,48,3
pm25,knn,19,365,70.49917808219178,66.64383561643835,-0.0578499486125385,365,-1.5456704287897425,0.123053118280682,0.2306847242781085,False,48,16,33,48,3
pm25,knn,20,365,72.78575342465753,67.72054794520548,-0.0747956954446151,365,-1.6867905729284909,0.0925003930104604,0.1830326925526132,False,48,16,33,48,3
pm25,knn,21,365,77.32657534246574,69.61643835616438,-0.1107516725698543,365,-3.500961961079872,0.0005211583417576,0.0023079869420698,True,48,16,33,48,3
pm25,knn,22,365,80.86575342465754,73.07123287671233,-0.1066701660980091,365,-3.4399312141526424,0.0006493442211228,0.0027225480456324,True,48,16,33,48,3
pm25,knn,23,365,83.02520547945204,75.97534246575343,-0.0927914608200206,365,-2.9767284092121016,0.0031082922057028,0.0103239705403702,True,48,16,33,48,3
pm25,knn,24,365,85.2745205479452,78.47123287671234,-0.0866978562949514,365,-3.0442440688367216,0.0025023461713598,0.0086191923680171,True,48,16,33,48,3
pm25,knn,25,365,87.63835616438357,80.1917808219178,-0.0928595831909806,365,-3.0928044787927544,0.0021358274468565,0.0077800545957578,True,48,16,33,48,3
pm25,knn,26,365,87.58465753424657,82.17534246575343,-0.0658264986330599,365,-1.659289717017855,0.0979187204946976,0.1897175209584766,False,48,16,33,48,3
pm25,knn,27,365,87.73808219178082,85.23287671232876,-0.0293924783027965,365,-0.653305348912557,0.5139718884424871,0.6050555142424215,False,48,16,33,48,3
pm25,knn,28,365,88.04657534246576,85.55890410958904,-0.0290755387620482,365,-0.9568716873425024,0.339267102301505,0.438220007139444,False,48,16,33,48,3
pm25,knn,29,365,84.15342465753425,84.18904109589042,0.0004230531419832,365,0.0105184380753594,0.9916134178191722,0.9916134178191722,False,48,16,33,48,3
pm25,knn,30,365,86.06739726027396,86.15068493150685,0.0009667673716012,365,0.032208392494793,0.974323516591352,0.9849139895977798,False,48,16,33,48,3
pm25,knn,31,365,83.98410958904108,84.33698630136986,0.0041841276028978,365,0.0929033621965745,0.9260314460453816,0.956899160913561,False,48,16,33,48,3
pm25,knn,32,365,82.14520547945206,81.99178082191781,-0.0018712199685901,365,-0.059382592868907,0.9526799649535472,0.9736179861613176,False,48,16,33,48,3
pm25,knn,33,365,79.00328767123288,80.25753424657535,0.0156277736055164,365,0.5478005198053254,0.5841646322179497,0.6625281804423088,False,48,16,33,48,3
pm25,knn,34,365,78.27835616438355,80.07945205479452,0.0224913613192377,365,0.908371324096372,0.3642830828822054,0.4640866672334946,False,48,16,33,48,3
pm25,knn,35,365,79.39780821917809,81.61917808219178,0.0272162733711522,365,,,,False,48,16,33,48,3
pm25,knn,36,365,80.27890410958904,82.88493150684931,0.0314415099328992,365,,,,False,48,16,33,48,3
pm25,knn,37,365,78.76273972602739,82.56712328767124,0.046076251783522,365,,,,False,48,16,33,48,3
pm25,knn,38,365,77.666301369863,82.34794520547945,0.0568519812356522,365,2.422796795642199,0.01588883878523,0.0418135325444595,True,48,16,33,48,3
pm25,knn,39,365,78.67890410958904,83.1041095890411,0.0532489368015033,365,1.1055042345413948,0.2696713083459527,0.3688151717084353,False,48,16,33,48,3
pm25,knn,40,365,77.24383561643836,83.4876712328767,0.0747875168181667,365,1.170214787568846,0.2426801409388426,0.3638500290362497,False,48,16,33,48,3
pm25,knn,41,365,78.26246575342466,83.66575342465754,0.0645818324710196,365,1.1086252975880415,0.2683238123494766,0.3688151717084353,False,48,16,33,48,3
pm25,knn,42,365,78.14082191780822,84.36712328767123,0.0738000909268038,365,1.374166058285816,0.170235652623744,0.2987153904529849,False,48,16,33,48,3
pm25,knn,43,365,79.04328767123287,86.1972602739726,0.082995359481279,365,1.2174293940188785,0.2242295368303919,0.3534465580546856,False,48,16,33,48,3
pm25,knn,44,365,80.04931506849314,88.46849315068494,0.095165835681769,365,1.3967533416834874,0.163338758616367,0.2921250875254256,False,48,16,33,48,3
pm25,knn,45,365,80.99835616438357,89.62191780821918,0.0962215700660308,365,1.445418732098201,0.149200671175105,0.2720718121428386,False,48,16,33,48,3
pm25,knn,46,365,81.40328767123287,91.03561643835616,0.1058083543999036,365,1.5416643720709904,0.124024045310811,0.2306847242781085,False,48,16,33,48,3
pm25,knn,47,365,82.66465753424657,92.43013698630136,0.1056525476479829,365,1.7095516486793851,0.0882010695132791,0.1783195535811947,False,48,16,33,48,3
pm25,knn,48,365,84.07013698630138,94.34794520547943,0.1089351569532768,365,1.9757216097234935,0.0489411881149441,0.1083697736830907,False,48,16,33,48,3
