domain,model,horizon,n_origins,mae_model,mae_baseline,skill
traffic,lightgbm,48,103,14.963642222709552,15.288506511018644,0.021248922389833003
traffic,lightgbm,49,103,14.864659912218528,14.068193930754612,-0.05661465753061257
traffic,lightgbm,50,103,14.302041324480122,14.344297079673291,0.0029458226470399085
traffic,lightgbm,51,103,13.762819185879332,13.809529909590589,0.003382499188391397
traffic,lightgbm,52,103,14.225475186776546,13.639277687882059,-0.042978632176049913
traffic,lightgbm,53,103,15.132139653737585,13.493088303282478,-0.12147340279811059
traffic,lightgbm,54,103,16.88846340443514,14.757646594236395,-0.14438730434369784
traffic,lightgbm,55,103,16.613355038177104,15.013221734216883,-0.10658160735169409
traffic,lightgbm,56,103,16.326858496131297,15.860128037191146,-0.029427912425782132
traffic,lightgbm,57,103,17.072197431324717,15.640964195818567,-0.09150543518850163
traffic,lightgbm,58,103,14.770767076641643,15.36577477269225,0.03872292187362025
traffic,lightgbm,59,103,13.166971515320185,14.031057045256075,0.06158377997814779
traffic,lightgbm,60,103,14.860311589473834,14.099655185698873,-0.05394858198706065
traffic,lightgbm,61,103,16.867964155919676,15.069107335490829,-0.11937381427977312
traffic,lightgbm,62,103,16.519954647364532,14.848417193198747,-0.11257344351365783
traffic,lightgbm,63,103,18.471798885920425,17.407677415626445,-0.06112943415063188
traffic,lightgbm,64,103,20.640120231121198,20.91725130990908,0.01324892428177682
traffic,lightgbm,65,103,24.71672018981209,28.6927174834335,0.138571653100375
traffic,lightgbm,66,102,27.28522845696361,30.223191915655153,0.09720890721571085
traffic,lightgbm,67,102,18.16181087716494,18.917931385517168,0.03996845600841359
traffic,lightgbm,68,102,16.23540992261028,14.92542859736487,-0.08776842264192597
traffic,lightgbm,69,102,14.422443365071585,14.39384596431165,-0.0019867796856267717
traffic,lightgbm,70,102,15.040660314702018,14.489347312999273,-0.0380495401064842
traffic,lightgbm,71,102,13.911552998296306,14.828260192966077,0.061821628615919444
traffic,lightgbm,72,102,14.683160911031957,15.287932163606182,0.039558734700165576
traffic,mlp,1,105,6.614609286735992,3.8643137440161253,-0.7117164197598316
traffic,mlp,2,105,7.475624042790938,5.316487780297304,-0.4061207984894293
traffic,mlp,3,105,8.147523252846055,6.526265432098764,-0.24842045387447786
traffic,mlp,4,105,9.14256076003445,7.002453388762913,-0.30562250863473706
traffic,mlp,5,105,10.92957416381051,6.897313869992444,-0.5846131363342588
traffic,mlp,6,105,12.998814236345394,8.389132968002016,-0.5494824418596902
traffic,mlp,7,105,13.30984002607549,8.69239417989418,-0.5312052986347109
traffic,mlp,8,105,14.29044561129215,9.012471025447216,-0.5856301308422827
traffic,mlp,9,105,14.274879097800964,8.96794249181154,-0.5917674662649866
traffic,mlp,10,105,15.11475222453934,9.904046674225246,-0.5261188402791637
traffic,mlp,11,105,14.730989946543394,10.154884101788864,-0.450631026300774
traffic,mlp,12,105,13.050237049859186,10.430003464348703,-0.25122077806271403
traffic,mlp,13,105,13.41390731825504,10.888853300579493,-0.2318934738096956
traffic,mlp,14,105,13.325946360489562,10.919876858150669,-0.2203385197098615
traffic,mlp,15,105,16.08388978997022,13.727793209876541,-0.17162966720671236
traffic,mlp,16,105,18.903895320399826,18.385181720836478,-0.02821367813707676
traffic,mlp,17,105,23.770555436487626,27.320351788863693,0.12993230760019103
traffic,mlp,18,104,23.090800104771343,26.823072153540902,0.13914409309288844
traffic,mlp,19,104,17.142999071330443,13.73052216880342,-0.24853220151236344
traffic,mlp,20,104,17.801181249699425,12.189002721815221,-0.4604296722191905
traffic,mlp,21,104,16.589486724562715,12.514915293040294,-0.3255772281405964
traffic,mlp,22,104,15.991503701526248,12.494200562169313,-0.27991411871090643
traffic,mlp,23,104,14.321852971150083,10.627130392755392,-0.34766888537600105
traffic,mlp,24,104,14.309801202130899,11.85423471204721,-0.20714677494854628
traffic,mlp,25,104,15.25935302540782,11.986406504375255,-0.27305485758704084
traffic,mlp,26,104,15.306975185645532,12.501018454924703,-0.22445825040882483
traffic,mlp,27,104,14.671748073206887,13.292096560846561,-0.103794875853088
traffic,mlp,28,104,14.554685544270397,12.746190094627593,-0.1418851779407455
traffic,mlp,29,104,15.674504641065587,12.632479904354906,-0.2408097823818407
